output,index,hit_count,x,y
1,[1456],1,1.0,0.0
4,[790],1,-1.0,0.0
5,"[840, 1539]",2,0.0,-1.0
9,[1691],1,2.0,2.0
10,"[844, 886]",2,2.0,0.0
14,"[64, 887, 1278, 1791]",4,2.0,3.0
15,"[780, 873, 897]",3,1.0,-1.0
16,"[427, 486, 687]",3,-1.0,-1.0
20,[817],1,1.0,4.0
23,"[297, 1681, 1708]",3,3.0,3.0
24,"[353, 1257]",2,2.0,4.0
31,[392],1,-1.0,4.0
40,"[450, 483]",2,-2.0,-3.0
61,"[1439, 1483, 1512, 1515, 1525]",5,0.0,-6.0
62,[1387],1,4.0,0.0
65,[400],1,-1.0,-6.0
67,"[194, 410]",2,-3.0,-1.0
79,"[540, 800, 1429, 1479]",4,2.0,-4.0
80,[87],1,-2.0,-6.0
85,[1536],1,1.0,-7.0
99,[627],1,6.0,0.0
104,"[366, 876, 900, 1221]",4,3.0,7.0
113,[1764],1,2.0,9.0
115,[1254],1,3.0,4.0
116,[497],1,-4.0,-4.0
117,[733],1,-3.0,-3.0
121,"[1389, 1617]",2,-4.0,-6.0
126,"[626, 756, 767]",3,4.0,-3.0
128,[1502],1,3.0,-3.0
130,[714],1,-4.0,-2.0
131,"[557, 580, 1181]",3,5.0,-3.0
138,"[988, 1291, 1301, 1311]",4,3.0,9.0
144,[154],1,-4.0,0.0
145,[367],1,6.0,1.0
148,"[613, 616]",2,3.0,-4.0
153,[822],1,-1.0,-10.0
155,"[135, 176, 201, 1277]",4,0.0,-11.0
156,[603],1,5.0,-4.0
159,"[198, 238, 390, 510]",4,-4.0,1.0
160,[1581],1,4.0,-7.0
163,[1267],1,4.0,9.0
165,"[1355, 1374, 1411]",3,3.0,8.0
169,"[145, 271, 808, 878, 893]",5,1.0,-11.0
170,"[847, 850]",2,0.0,-12.0
173,"[134, 650, 660]",3,-3.0,1.0
177,"[1242, 1575, 1582, 1662]",4,2.0,-11.0
179,"[520, 530, 584, 637, 1419]",5,6.0,-3.0
181,"[46, 246]",2,3.0,-11.0
182,[1328],1,4.0,8.0
183,[1354],1,-5.0,5.0
184,"[412, 451, 453]",3,-3.0,5.0
185,[490],1,-4.0,6.0
186,"[781, 811, 1192]",3,-1.0,-12.0
187,"[1643, 1659]",2,1.0,-12.0
189,"[38, 127, 1175, 1571]",4,4.0,-11.0
192,"[550, 582, 620, 622, 1173]",5,-2.0,10.0
195,[327],1,-4.0,-8.0
197,[444],1,-3.0,8.0
198,[841],1,-2.0,7.0
199,"[239, 247, 267]",3,-5.0,-2.0
200,[1650],1,2.0,-12.0
202,"[117, 162]",2,-2.0,-12.0
204,"[651, 678, 717, 720, 1203]",5,-6.0,-6.0
217,[1573],1,6.0,2.0
229,[1244],1,3.0,5.0
231,[1161],1,7.0,2.0
232,"[41, 124, 380]",3,6.0,3.0
234,[802],1,-5.0,6.0
245,"[402, 420, 452]",3,-2.0,6.0
254,[454],1,-5.0,-3.0
256,"[15, 1144, 1568]",3,-3.0,-10.0
268,[1210],1,5.0,-8.0
271,"[102, 1129]",2,-6.0,-9.0
273,"[1215, 1345, 1352, 1353]",4,-7.0,4.0
281,"[109, 503, 692, 755]",4,-3.0,-12.0
283,[114],1,-2.0,-15.0
284,"[284, 383, 699, 775, 1037]",5,-1.0,-16.0
289,"[168, 242, 248, 1327, 1794]",5,0.0,-16.0
294,"[1034, 1061, 1064, 1101]",4,-4.0,-12.0
299,"[96, 1185, 1279, 1280, 1284]",5,-2.0,-16.0
303,"[40, 122, 158, 1325, 1401]",5,-1.0,-17.0
305,[1763],1,-3.0,-16.0
306,"[148, 255, 352, 509]",4,-2.0,-17.0
311,[1396],1,-3.0,-11.0
313,"[760, 804]",2,0.0,-17.0
315,"[522, 611, 1261]",3,-3.0,6.0
319,"[640, 743]",2,7.0,-5.0
320,"[1351, 1384]",2,4.0,10.0
323,"[144, 171, 225, 228, 250]",5,-6.0,-2.0
325,[1526],1,8.0,-5.0
327,[1315],1,-3.0,-17.0
337,"[34, 880, 1561, 1609, 1629, 1645]",6,-2.0,11.0
342,[1312],1,-7.0,-7.0
356,"[474, 481, 864]",3,-7.0,5.0
364,"[104, 492, 574, 604]",4,-2.0,12.0
370,"[1098, 1136, 1147]",3,-7.0,-6.0
373,[1409],1,1.0,-19.0
377,"[1047, 1080, 1685, 1707, 1789]",5,-5.0,-17.0
378,"[18, 664, 1414, 1664]",4,-5.0,-16.0
380,[1393],1,-8.0,2.0
389,"[129, 1553]",2,4.0,-15.0
392,"[1295, 1305, 1340, 1596]",4,-1.0,-20.0
393,[1762],1,-5.0,11.0
396,[1714],1,2.0,-19.0
398,[1391],1,-7.0,1.0
417,"[615, 818, 1040, 1709]",4,3.0,-15.0
418,[1760],1,5.0,-15.0
419,"[277, 688, 693, 1030, 1678, 1747, 1766, 1774]",8,4.0,-16.0
420,"[1231, 1319, 1320, 1333, 1489]",5,-8.0,-6.0
423,"[823, 1071, 1117, 1737, 1757]",5,3.0,-19.0
428,[1148],1,8.0,4.0
432,[204],1,7.0,-9.0
433,"[1680, 1726, 1727, 1730, 1750]",5,-5.0,-18.0
434,"[1182, 1576, 1589]",3,6.0,-11.0
435,"[404, 508]",2,-6.0,-15.0
442,"[195, 468]",2,-6.0,10.0
450,[232],1,-8.0,1.0
451,"[716, 731, 745, 753, 1083]",5,3.0,-16.0
454,"[858, 1683, 1725]",3,-8.0,-2.0
462,[1699],1,-8.0,-10.0
464,[1383],1,-6.0,-18.0
467,"[647, 736, 739]",3,2.0,-15.0
474,[1647],1,-1.0,13.0
478,"[33, 35, 120]",3,-6.0,-12.0
480,"[1044, 1062]",2,-5.0,-12.0
490,[1239],1,-10.0,4.0
491,[871],1,-10.0,2.0
493,"[76, 769, 1410]",3,-2.0,-21.0
503,"[170, 206]",2,3.0,-20.0
504,[142],1,2.0,-21.0
505,[1263],1,-9.0,5.0
509,"[365, 1075]",2,-7.0,-12.0
510,[1281],1,9.0,-3.0
511,"[68, 110, 111, 260]",4,10.0,2.0
516,[1286],1,-6.0,-16.0
517,[1197],1,-7.0,-17.0
518,[280],1,10.0,-5.0
523,[1778],1,5.0,11.0
524,"[1202, 1605, 1606, 1712]",4,-6.0,-20.0
525,"[103, 1588, 1602, 1603]",4,-5.0,-21.0
528,[1190],1,-7.0,-13.0
542,"[1673, 1693, 1701, 1733]",4,-2.0,13.0
544,"[258, 268, 310, 313, 593, 907]",6,-3.0,-24.0
546,"[419, 460, 495, 506]",4,-8.0,-12.0
552,[1253],1,-7.0,-19.0
564,"[376, 791, 801, 896, 1259]",5,7.0,-12.0
566,"[1313, 1321, 1375]",3,-7.0,6.0
577,[1577],1,-7.0,8.0
580,"[967, 1510, 1519]",3,-12.0,2.0
581,[542],1,-11.0,1.0
583,"[463, 499, 986, 1031]",4,-1.0,-24.0
584,"[631, 927, 953, 1594]",4,-4.0,-24.0
585,[372],1,-2.0,-24.0
586,[1669],1,-3.0,-25.0
587,"[1688, 1723]",2,6.0,-17.0
588,"[306, 333, 371, 730, 778, 798, 830, 851, 1211, 1270, 1272]",11,3.0,-22.0
590,"[278, 331, 340]",3,0.0,-24.0
591,"[369, 1214, 1232, 1241, 1273]",5,-1.0,-25.0
592,[1207],1,-5.0,-23.0
597,[488],1,-8.0,-13.0
599,"[132, 788, 1159, 1625]",4,0.0,-25.0
601,"[1189, 1535]",2,-10.0,-10.0
604,"[746, 757, 770]",3,11.0,-5.0
608,[289],1,-10.0,-7.0
611,"[1100, 1141, 1195, 1233]",4,-9.0,-16.0
613,"[165, 230, 245, 1266]",4,8.0,-12.0
620,[547],1,-9.0,-17.0
624,"[163, 885]",2,8.0,-10.0
625,[1614],1,8.0,-11.0
626,"[1178, 1556, 1564, 1599]",4,6.0,-16.0
